barcode,author_last_name,year,checkouts,division,n_pages
12004334,Verghese,2012,0,HSS,54
16236556,Vrabel,2009,1,HSS,75
12667564,Shaw,1988,1,PRPL,86
17003864,Stevenson,2012,0,LL,87
14743250,Ward,1999,1,LL,75
12466397,Shapiro,1990,8,HSS,71
15172554,Wright,1982,1,MNS,74
12118394,Wydra,1973,0,PRPL,94
17263716,Wagar,2016,0,PRPL,34
1249319,Wood,1932,1,HSS,173
17703877,Swayze,1952,1,HSS,203
15595556,Wagner,2005,0,PRPL,84
15221070,Browne,1990,1,PRPL,251
12612164,Kaufman,1957,0,HSS,97
12604849,Cottrell,1950,1,HSS,91
15689573,O'Brien,1977,0,MNS,41
12670899,Cormack,1948,0,MNS,17
17793894,Mount,2019,0,HSS,74
17560830,Breedlove,2017,0,HSS,61
14889307,Collamore,2000,0,PRPL,42
12625430,Leshen,1971,1,PRPL,47
16436875,Gervais,2009,2,ART,93
15492846,Blake,2004,0,LL,104
15702913,Countryman,2006,0,LL,80
14447486,Alvarado,1998,4,MNS,86
17794900,Molloy,2019,0,HSS,70
17698036,Chau,2018,0,MNS,25
12267910,Cowan,1991,2,ART,67
16540726,Carby-Argus,2011,0,PRPL,75
16223216,Ates,2010,0,HSS,73
14318729,Fusaro,1997,8,MNS,68
12592564,Samuels,1981,2,HSS,97
15863277,Schlender,2007,7,MNS,68
16235871,Schumer,2009,4,MNS,89
14964431,Seal,2001,3,HSS,82
12592499,Saito,1955,0,HSS,359
12118649,Zipkin,1969,0,ART,14
12118436,Zalim,1981,1,HSS,57
14322192,Yeatts,1997,3,MNS,40
17362070,Xue,2014,1,MNS,75
14823538,York,2000,0,PRPL,79
12969077,Canning,1994,0,PRPL,89
17818121,Carter,2019,0,HSS,61
12604179,Cavender,1951,0,HSS,108
17353905,Chavez,2014,1,PRPL,69
14814180,Cahill,2000,3,LL,58
17572868,Kornhauser,1990,0,MNS,47
12639795,Kremen,1971,0,MNS,70
16166944,Kurrasch,2008,2,ART,57
12615209,Landye,1960,6,HSS,123
15860703,Larson,2007,1,LL,70
12556890,Moats,1950,0,ART,65
16989014,Mondello,2012,0,PRPL,58
12565941,Morland,1980,3,HSS,119
17565367,Morrison,2017,1,HSS,40
14684328,Mitchell,1999,4,LL,121
15587355,Matthews,2005,2,HSS,81
17434473,Messick,2015,0,HSS,68
14952469,Miller,2001,1,PRPL,77
12673992,Gill,1963,2,MNS,49
12658670,Gilman,1985,1,ART,49
17260027,Gilmore,2016,0,PRPL,52
